host,rtt,port,server_name,synStart,synEnd,scanEnd,protocol,cipher,resultString,verify_err_no,verify_code,server_version,depth,depth_verbose,error_data
76.76.2.146,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
16.162.229.103,,443,alidns.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.173,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.121,,443,premium.dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
78.142.193.52,,443,doh.sb,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
86.106.90.57,,443,dns.nextdns.io,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.11,,443,p1.freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.120,,443,premium.dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.174,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.89,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.131,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.86,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.136,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.142,,443,premium.dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.148,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
8.8.4.4,,443,dns64.dns.google,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
